1.13.0.28211
q(73),	-- <TXT> No Reward	 CLASSIC:<TXT> No Reward	 TBC:<TXT> No Reward	 WOTLK:<TXT> No Reward	
q(65284),	-- TBC:Goblin Gumbo Kettle	 WOTLK:Goblin Gumbo Kettle	
q(65285),	-- TBC:Goblin Gumbo Kettle	 WOTLK:Goblin Gumbo Kettle	
q(65561),	-- TBC:Tabard of Flame	 WOTLK:Tabard of Flame	
q(65562),	-- TBC:Tabard of Flame	 WOTLK:Tabard of Flame	
3.4.0.43659
q(11189),	-- One Last Time	 WOTLK:One Last Time	
q(11402),	-- Clayton's Quest: Extreme!!	 WOTLK:Clayton's Quest: Extreme!	
q(11461),	-- DEPRECATED	 WOTLK:DEPRECATED	
q(11462),	-- Handsome Terry	 WOTLK:Handsome Terry	
q(11463),	-- Pirates of the North Seas	 WOTLK:Pirates of the North Seas	
q(11578),	-- The "Chow" Quest (123)aa COPY	 WOTLK:The "Chow" Quest (123)aa COPY	
q(11579),	-- The "Chow" Quest (123)aa COPY	 WOTLK:The "Chow" Quest (123)aa COPY	
q(11934),	-- Unlocking Your Potential [PH]	
q(11992),	-- Navigation Charts (Deprecated)	 WOTLK:Navigation Charts (Deprecated)	
q(11994),	-- Juno's Flag Tester	
q(12001),	-- zzOLDHunting Tarot: Lesser Beasts	 WOTLK:zzOLDHunting Tarot: Lesser Beasts	
q(12015),	-- Test Quest for Craig	 WOTLK:Test Quest for Craig	
q(12018),	-- Sweet Revenge	 WOTLK:Sweet Revenge	
q(12021),	-- A Letter Home	 WOTLK:A Letter Home	
q(12023),	-- Sweeter Revenge	
q(12024),	-- Recording the Fallen	 WOTLK:Recording the Fallen	
q(12025),	-- A Scarlet Among Us	 WOTLK:A Scarlet Among Us	
q(12087),	-- A Little Help Here? DEPRECATED	 WOTLK:A Little Help Here? DEPRECATED	
q(12108),	-- DEPRECATED	 WOTLK:DEPRECATED	
q(12156),	-- DEPRECAED	 WOTLK:DEPRECAED	
q(12162),	-- Solstice Village	 WOTLK:Solstice Village	
q(12163),	-- The Evil Below	 WOTLK:The Evil Below	
q(12313),	-- UNUSED Save Brewfest!	 WOTLK:UNUSED Save Brewfest!	
q(12426),	-- DEPRECATED	 WOTLK:DEPRECATED	
q(12445),	-- 	
q(12493),	-- PvP Test	 WOTLK:PvP Test	
q(12586),	-- In Search of Bigger Game	 WOTLK:In Search of Bigger Game	
q(12601),	-- The Alchemist's Apprentice	 WOTLK:The Alchemist's Apprentice	
q(12602),	-- The Alchemist's Apprentice	 WOTLK:The Alchemist's Apprentice	
q(12625),	-- Dominion Over Acherus	 WOTLK:Dominion Over Acherus	
q(12626),	-- Company of the Damned	
q(12682),	-- Uncharted Territory (DEPRECATED)	 WOTLK:Uncharted Territory (DEPRECATED)	
q(12731),	-- 	
q(12764),	-- The Secret to Kungaloosh	
q(12765),	-- Kungaloosh	
q(12780),	-- DEPRICATED>>Enemy of Our Enemy	 WOTLK:DEPRICATED>>Enemy of Our Enemy	
q(12825),	-- Expressions of Gratitude	 WOTLK:Expressions of Gratitude	
q(12834),	-- Not Rain, Nor Snow, Nor Exploding Plane	 WOTLK:Not Rain, Nor Snow, Nor Exploding Plane	
q(12835),	-- All Grown Up	 WOTLK:All Grown Up	
q(12837),	-- Tore's Got the Goods	 WOTLK:Tore's Got the Goods	
q(12881),	-- The Brothers Bronzebeard	 WOTLK:The Brothers Bronzebeard	
q(12923),	-- UNUSED	 WOTLK:	
q(13123),	-- WotLK Collector's Edition: - DEM - E - FLAG	
q(13173),	-- Amidst the Confusion	 WOTLK:Amidst the Confusion	
q(13210),	-- Blizzard Account: - DEM - E - FLAG	
q(13299),	-- ZZOLDWisp Cloak	 WOTLK:ZZOLDWisp Cloak	
q(13303),	-- The Panchurian Candidate	
q(13317),	-- ----	 WOTLK:----	
q(13378),	-- Chief Engineer Copperclaw	 WOTLK:Chief Engineer Copperclaw	
q(13404),	-- Static Shock Troops: the Bombardment	 WOTLK:Static Shock Troops: the Bombardment	
q(13405),	-- Call to Arms: Strand of the Ancients	 WOTLK:Call to Arms: Strand of the Ancients	
q(13406),	-- Riding the Wavelength: The Bombardment	 WOTLK:Riding the Wavelength: The Bombardment	
q(13407),	-- Call to Arms: Strand of the Ancients	 WOTLK:Call to Arms: Strand of the Ancients	
q(13427),	-- Call to Arms: Alterac Valley	 WOTLK:Call to Arms: Alterac Valley	
q(13428),	-- Call to Arms: Alterac Valley	 WOTLK:Call to Arms: Alterac Valley	
q(13476),	-- For Great Honor	 WOTLK:For Great Honor	
q(13478),	-- Concerted Efforts	 WOTLK:Concerted Efforts	
q(13649),	-- Justin's Fun Test	 WOTLK:Justin's Fun Test	
q(13914),	-- Searing Roc Feathers	 WOTLK:Searing Roc Feathers	
q(13915),	-- Hungry, Hungry Hatchling	 WOTLK:Hungry, Hungry Hatchling	
q(13916),	-- Poached, Scrambled, Or Raw?	 WOTLK:Poached, Scrambled, Or Raw?	
q(13917),	-- Gorishi Grub	 WOTLK:Gorishi Grub	
q(13990),	-- Upper Deck Promo - Chicken Mount	
q(13997),	-- If You're Reading This While I'm In Combat...	 WOTLK:If You're Reading This While I'm In Combat...	
q(14032),	-- Kobold Camp Cleanup [Programming Test]	 WOTLK:Kobold Camp Cleanup	
q(14163),	-- Call to Arms: Isle of Conquest	 WOTLK:Call to Arms: Isle of Conquest	
q(14164),	-- Call to Arms: Isle of Conquest	 WOTLK:Call to Arms: Isle of Conquest	
q(14178),	-- Call to Arms: Arathi Basin	 WOTLK:Call to Arms: Arathi Basin	
q(14179),	-- Call to Arms: Eye of the Storm	 WOTLK:Call to Arms: Eye of the Storm	
q(14180),	-- Call to Arms: Warsong Gulch	 WOTLK:Call to Arms: Warsong Gulch	
q(14181),	-- Call to Arms: Arathi Basin	 WOTLK:Call to Arms: Arathi Basin	
q(14182),	-- Call to Arms: Eye of the Storm	 WOTLK:Call to Arms: Eye of the Storm	
q(14183),	-- Call to Arms: Warsong Gulch	 WOTLK:Call to Arms: Warsong Gulch	
q(14185),	-- FLAG: Riding Trainer Advertisement (40)	
q(14186),	-- FLAG: Riding Trainer Advertisement (60)	
q(14187),	-- FLAG: Riding Trainer Advertisement (70)	
q(14200),	-- Kickoff Mail Marker	
q(14349),	-- The Call to Command	 WOTLK:The Call to Command	
q(14350),	-- The Crimson Courier	 WOTLK:The Crimson Courier	
q(14351),	-- [DEPRECATED] Battle of Hillsbrad	 WOTLK:Battle of Hillsbrad	
q(14409),	-- A Cautious Return	
q(14418),	-- The Deathstalkers	 WOTLK:The Deathstalkers	
q(14419),	-- The Deathstalkers	 WOTLK:The Deathstalkers	
q(14420),	-- The Deathstalkers	 WOTLK:The Deathstalkers	
q(14421),	-- The Deathstalkers	 WOTLK:The Deathstalkers	
q(14441),	-- Garrosh's Autograph	
q(24216),	-- Call to Arms: Warsong Gulch	 WOTLK:Call to Arms: Warsong Gulch	
q(24217),	-- Call to Arms: Warsong Gulch	 WOTLK:Call to Arms: Warsong Gulch	
q(24218),	-- Call to Arms: Warsong Gulch	 WOTLK:Call to Arms: Warsong Gulch	
q(24219),	-- Call to Arms: Warsong Gulch	 WOTLK:Call to Arms: Warsong Gulch	
q(24220),	-- Call to Arms: Arathi Basin	 WOTLK:Call to Arms: Arathi Basin	
q(24221),	-- Call to Arms: Arathi Basin	 WOTLK:Call to Arms: Arathi Basin	
q(24222),	-- Call to Arms: Eye of the Storm DEPRECATED	 WOTLK:Call to Arms: Eye of the Storm DEPRECATED	
q(24223),	-- Call to Arms: Arathi Basin	 WOTLK:Call to Arms: Arathi Basin	
q(24224),	-- Call to Arms: Warsong Gulch	 WOTLK:Call to Arms: Warsong Gulch	
q(24225),	-- Call to Arms: Warsong Gulch	 WOTLK:Call to Arms: Warsong Gulch	
q(24226),	-- Call to Arms: Arathi Basin	 WOTLK:Call to Arms: Arathi Basin	
q(24227),	-- DEPRECATED	
q(24426),	-- Call to Arms: Alterac Valley	 WOTLK:Call to Arms: Alterac Valley	
q(24427),	-- Call to Arms: Alterac Valley	 WOTLK:Call to Arms: Alterac Valley	
q(24508),	-- Temp Quest Record	
q(24509),	-- Temp Quest Record	
q(24746),	-- REUSE	 WOTLK:REUSE	
q(24869),	-- Deprogramming	 WOTLK:Deprogramming	
q(24870),	-- Securing the Ramparts	 WOTLK:Securing the Ramparts	
q(24871),	-- Securing the Ramparts	 WOTLK:Securing the Ramparts	
q(24872),	-- Respite for a Tormented Soul	 WOTLK:Respite for a Tormented Soul	
q(24873),	-- Residue Rendezvous	 WOTLK:Residue Rendezvous	
q(24874),	-- Blood Quickening	 WOTLK:Blood Quickening	
q(24875),	-- Deprogramming	 WOTLK:Deprogramming	
q(24876),	-- Securing the Ramparts	 WOTLK:Securing the Ramparts	
q(24877),	-- Securing the Ramparts	 WOTLK:Securing the Ramparts	
q(24878),	-- Residue Rendezvous	 WOTLK:Residue Rendezvous	
q(24879),	-- Blood Quickening	 WOTLK:Blood Quickening	
q(24880),	-- Respite for a Tormented Soul	 WOTLK:Respite for a Tormented Soul	
q(25238),	-- Strength Ring Flag	
3.4.0.44729
q(70349),	--
3.4.0.46158
q(66990),	--
q(66991),	--
q(70354),	-- WOTLK:Northrend Expedition Supplies	
q(70356),	-- WOTLK:Northrend Expedition Supplies	
q(70395),	-- WOTLK:A New Beginning	
q(70396),	-- WOTLK:A New Beginning	
q(70397),	-- WOTLK:Tools for Survival	
q(70398),	-- WOTLK:Combat Training	
q(70401),	-- WOTLK:Talented	
q(70411),	-- WOTLK:To the Dockmaster	
q(70448),	-- WOTLK:Elite Northrend Expedition Supplies	
q(70449),	-- WOTLK:Elite Northrend Expedition Supplies	
q(70663),	--
q(70664),	--
q(70665),	--
q(70666),	--
q(70667),	--
q(70668),	--
q(70669),	--
q(70670),	--
q(70671),	--
q(70672),	--
q(70673),	--
q(70674),	--
q(70675),	--
q(70676),	--
q(70677),	--
q(70678),	--
q(70679),	--
q(70680),	--
q(70681),	--
q(70682),	--
q(70683),	--
q(70684),	--
q(70685),	--
q(70686),	--
q(70687),	--
q(70688),	--
q(70689),	--
q(70690),	--
q(70691),	--
q(70692),	--
q(70693),	--
q(70694),	--
q(70695),	--
q(70696),	--
q(70734),	-- WOTLK:Tools for Survival	
q(70735),	-- WOTLK:Combat Training	
q(70736),	-- WOTLK:Talented	
q(70737),	-- WOTLK:To the Zeppelin Master	
q(70760),	--
q(70761),	-- WOTLK:Tools for Survival	
q(70762),	-- WOTLK:A New Beginning	
q(70764),	-- WOTLK:Combat Training	
q(70765),	-- WOTLK:Talented	
q(70855),	--
q(70860),	--
q(70861),	--
q(70862),	-- WOTLK:Hoplet	
q(70863),	-- WOTLK:Hoplet	
q(70865),	-- WOTLK:To Shattrath City	
q(70868),	-- WOTLK:Talented	
q(70869),	-- WOTLK:Talented	
q(70870),	-- WOTLK:Talented	
q(70998),	-- WOTLK:Frosty	
q(70999),	-- WOTLK:Frosty	
q(71098),	--
q(71099),	--
q(71100),	--
q(71101),	--
q(71102),	--
q(71103),	--
q(71104),	--
q(71105),	--
q(71106),	--
q(71107),	--
q(71108),	--
q(71109),	--
q(71110),	--
q(71111),	--
q(71112),	--
q(71113),	--
q(71114),	--
q(71115),	--
q(71116),	--
q(71117),	--
q(71118),	--
q(71119),	--
q(71120),	--
q(71121),	--
q(71122),	--
q(71123),	--
q(71124),	--
q(71125),	--
q(71126),	--
q(71127),	--
q(71128),	--
q(71129),	--
q(71130),	--
q(71131),	--
q(71132),	--
q(71133),	--
q(71134),	--
q(72433),	--
3.4.1.47966
q(72522),	-- WOTLK:Festering Emerald Drake	
q(72523),	-- WOTLK:Festering Emerald Drake	
3.4.2.49311
q(76175),	--
5.0.3.15890
q(13574),	-- Peering Into the Vortex (DEPRECATED)	
q(13608),	-- Along for the Ride	
q(13637),	-- Ram Delivery	
q(13802),	-- The Goblin with Two Brains	
q(13804),	-- To Catch a Fish-Thing	
q(13894),	-- Marking the Kills (DEPRECATED)	
q(13939),	-- Fel Moss Corruption	
q(13941),	-- Vile Touch	
q(13972),	-- Among Humans Again	
q(13978),	-- Lurkers in the Mist	
q(13984),	-- Tracking Our Every Move	
q(13993),	-- You're the Bomb!	
q(13994),	-- (DEPRECATED)	
q(13996),	-- Can You Get This Quest While I'm In Combat?	
q(14000),	-- Hunt or Be Hunted	
q(14002),	-- A Job for a Bloodhound	
q(14007),	-- Steady Shot	
q(14008),	-- Frost Nova	
q(14009),	-- Learning the Word	
q(14010),	-- Eviscerate	
q(14011),	-- Primal Strike	
q(14012),	-- Corruption	
q(14013),	-- Charge	
q(14015),	-- Incomplete Cartography	
q(14020),	-- The Curse	
q(14025),	-- To the Frontlines	
q(14026),	-- Off With a Bang	
q(14027),	-- Face to Face	
q(14029),	-- Breaking the Siege	
q(14097),	-- Get That Merchant Out of Here!	
q(14133),	-- The Way to a Mage's Heart	
q(14137),	-- Class Training (Tracking Event)	
q(14156),	-- Man on the Inside	
q(14298),	-- Kill Cultists/Dragonflight	
q(14315),	-- Liam's Stupor	
q(14317),	-- Tremors	
q(14415),	-- Apparitions in the Orchard	
q(14425),	-- The First Quest	
q(14426),	-- The Second Quest	
q(14427),	-- Item Quest	
q(14450),	-- Random Drop Test Progressive	
q(14451),	-- Random Drop Flat Rate	
q(24460),	-- Out of Order	
q(24462),	-- Operation Item Get	
q(24494),	-- Empowered Rune	
q(24526),	-- Filling Up the Spellbook	
q(24527),	-- Your Path Begins Here	
q(24530),	-- Oh, A Hunter's Life For Me	
q(24531),	-- Getting Battle-Ready	
q(24544),	-- Paul Test Quest	
q(24640),	-- The Arts of a Warrior	
q(24696),	-- Un'Goro: PRK - E - Shizzle's Flyer 02 - Testing It Out	
q(24738),	-- Williden's Journal	
q(24739),	-- Expedition Salvation	
q(24760),	-- The Arts of a Shaman	
q(24766),	-- The Arts of a Druid	
q(24772),	-- The Arts of a Rogue	
q(24778),	-- The Arts of a Hunter	
q(24784),	-- Learnin' tha Word	
q(24860),	-- Profitable Preservation	
q(24867),	-- [NOT USED] Lumberjack Slam Placeholder	
q(24900),	-- Blueleaf Tubers	
q(24908),	-- [NOT USED] Build the Fort Placeholder	
q(24909),	-- [NOT USED] Protect the Pass Placeholder	
q(24935),	-- Body And Soul	
q(24962),	-- Trail-Worn Scroll	
q(24964),	-- The Thrill of the Hunt	
q(24967),	-- Stab!	
q(24968),	-- Dark Deeds	
q(24969),	-- Charging into Battle	
q(24984),	-- The Prodigal Lich	
q(24985),	-- Proving Allegiance	
q(24986),	-- The Prodigal Lich Returns	
q(24987),	-- Dark Lady, Watch Over Us	
q(25016),	-- FLAG - Training Complete	
q(25076),	-- Taming the Beast	
q(25077),	-- Taming the Beast	
q(25078),	-- Taming the Beast	
q(25083),	-- Beast Training	
q(25096),	-- Thunderdrome: Prince Mosh!	
q(25097),	-- Little Sumpthin'	
q(25101),	-- Friend of a Friend	
q(25113),	-- [DEPRECATED]Scorpid Poaching: Dunestalkers	
q(25114),	-- [DEPRECATED]Basilisk Poaching: Gazer Guts	
q(25116),	-- [DEPRECATED]Hyena Poaching: Rabid Livers	
q(25119),	-- Impulse Hunting	
q(25137),	-- Valley of Trials: PRK - H - Warlock Pet Imp	
q(25138),	-- Glyphic Parchment	
q(25139),	-- Steady Shot	
q(25140),	-- Swine Hunting	
q(25141),	-- Eviscerate	
q(25142),	-- Into the Shadows	
q(25143),	-- Primal Strike	
q(25144),	-- Rock Meets Flesh	
q(25145),	-- Corruption	
q(25146),	-- A Demonic Fire	
q(25147),	-- Charge	
q(25148),	-- Hone Your Holler	
q(25149),	-- Frost Nova	
q(25150),	-- Empowered Minds	
q(25189),	-- Spirits Be Praised	
q(25225),	-- Oil Change	
q(25231),	-- Southseas Scum	
q(25302),	-- Remnants of Battle	
q(25307),	-- Eavesdropping	
q(25313),	-- The Defector	
q(25318),	-- Twilight Battle Plans	
q(25322),	-- Fiery Inscriptions	
q(25326),	-- Block Their Retreat	
q(25327),	-- Awakening	
q(25335),	-- Natural Materials	
q(25376),	-- Gordunni Cobalt	
q(25501),	-- Poaching for Dummies	
q(25508),	-- A Brilliant Idea	
q(25557),	-- Chief Ukorz	
q(25604),	-- Hammering It Out	
q(25625),	-- Piercing the Ruins	
q(25789),	-- Hammering It Out	
q(25827),	-- Lo'Gosh is Ready for Battle	
q(25828),	-- Goldrinn's Message to Ysera	
q(25831),	-- Hamuul's Message to Ysera	
q(25833),	-- Aviana's Message to Ysera	
q(25902),	-- Your First Totem!	
q(25903),	-- It's Hot and it Might Explode	
q(26104),	-- Our Aquatic Neigh-Bors	
q(26109),	-- Land Ho!	
q(26123),	-- When in Vashj'ir...	
q(26151),	-- Dark Letter	
q(26198),	-- The Arts of a Mage	
q(26200),	-- The Arts of a Priest	
q(26201),	-- The Power of a Warlock	
q(26204),	-- The Arts of a Warrior	
q(26216),	-- Stoleways	
q(26217),	-- Overboard	
q(26218),	-- Long Shot	
q(26231),	-- Boarding Party	
q(26239),	-- <PH>Wildhammer Totems	
q(26242),	-- Deepholm, Plane of Earth	
q(26253),	-- Preserve the Evidence	
q(26262),	-- Twilight Armaments	
q(26274),	-- The Arts of a Warlock	
q(26392),	-- Voucher of Bravery	
q(26458),	-- Twilight Falls	
q(26460),	-- In Search of Thaelrid	
q(26471),	-- Knowledge in the Deeps	
q(26559),	-- [NYI] Breaking Out is Hard to Do	
q(26626),	-- We Have a Situation	
q(26675),	-- The Value of Trust	
q(26715),	-- Malfurion Stormrage	
q(26716),	-- A Bit of Privacy	
q(26789),	-- You no take axe!	
q(26790),	-- Magmadar Must Die!	
q(26841),	-- Forbidden Sigil	
q(26847),	-- The Quaking Fields	
q(26848),	-- X Marks the Spot	
q(26849),	-- The Axe of Earthly Sundering	
q(26850),	-- Elemental Ore	
q(26851),	-- One With the Ground	
q(26852),	-- The Fragment's Inside	
q(26853),	-- The Middle Fragment	
q(26859),	-- Searching for the Lost Satchel	
q(26877),	-- The Fragment's Inside	
q(26880),	-- Gilneas City Unphase Cheat	
q(26891),	-- Amongst the Ruins	
q(26900),	-- Agamaggan	
q(26904),	-- Corruption	
q(26940),	-- Frost Nova	
q(26945),	-- Learning New Techniques	
q(26946),	-- A Rogue's Advantage	
q(26947),	-- A Woodsman's Training	
q(26948),	-- Moonfire	
q(27020),	-- The First Lesson	
q(27021),	-- The Hunter's Path	
q(27022),	-- Extinguishing the Idol	
q(27023),	-- The Way of the Sunwalkers	
q(27027),	-- Primal Strike	
q(27029),	-- Cure the Scourge	
q(27052),	-- Lingering Twilight	
q(27066),	-- Learning the Word	
q(27067),	-- Moonfire	
q(27081),	-- [DEPRECATED]Trusting the Traitor	
q(27137),	-- Earth Girls Aren't So Easy	
q(27138),	-- Earth Girls Aren't So Easy	
q(27149),	-- School of the Damned	
q(27250),	-- REUSE - BAD COPY	
q(27543),	-- [TEMP PH] What We Have Done	
q(27678),	-- The Platinum Discs	
q(27723),	-- Kyle's Test Quest	
q(27819),	-- TEST - RVM	
q(28016),	-- Adventurers Wanted: Scarlet Monastery Graveyard	
q(28018),	-- Adventurers Wanted: Scarlet Monastery Armory	
q(28020),	-- Adventurers Wanted: Scarlet Monastery Graveyard	
q(28022),	-- Adventurers Wanted: Scarlet Monastery Armory	
q(28095),	-- Breadcrumb Out	
q(28110),	-- Breadcrumb Out	
q(28371),	-- [DND] ORKUS QUEST FLAG [DO NOT LOCALIZE]	
q(28412),	-- Blessing of the Family	
q(28585),	-- Polished	
q(28648),	-- Frak's Wild Ride	
q(28739),	-- Night Elf Class Skill Tracker Quest	
q(28754),	-- Battle of Life and Death	
q(28835),	-- Necessary Refreshment (Backup Groundspawn Quest)	
q(28844),	-- [DEPRECATED] Hyena Harvest	
q(28851),	-- [DEPRECATED] Sullah's Sideshow	
q(28890),	-- Wasteland	
q(28891),	-- The Spirits of Southwind	
q(28892),	-- Hive in the Tower	
q(28893),	-- Umber, Archivist	
q(28894),	-- Uncovering Past Secrets	
q(28895),	-- Befoulers of the Wind	
q(28896),	-- Recalling	
q(28897),	-- Baristolth's Plan	
q(28898),	-- Secretion and Subterfuge	
q(28899),	-- Riding in Plain Sight	
q(28900),	-- Mysteries of the Twilight Hive	
q(28901),	-- Prisoners of Madness	
q(28902),	-- <PH>Hive'Zora B/C	
q(28903),	-- <PH>Faceless	
q(28904),	-- <PH>Bad Stuff	
q(28936),	-- Diva Dilemma	
q(28937),	-- Alliance Breadcrumb	
q(28938),	-- Save the Children	
q(28939),	-- Beware of Strangers	
q(28940),	-- Get Antidote	
q(28941),	-- Transformation	
q(28942),	-- Revenge!	
q(29025),	-- Samophlange Repair	
q(29041),	-- Welcome to Paradise	
q(29042),	-- Kitchen Clean-Up	
q(29043),	-- Lunch Break	
q(29044),	-- No Child of Mine	
q(29045),	-- Fit for a King	
q(29046),	-- Chef's Challenge: Steelback	
q(29047),	-- Chef's Challenge: Faewing	
q(29048),	-- Chef's Challenge: Grumpfin	
q(29049),	-- So Sous Me	
q(29050),	-- Out of Gas	
q(29055),	-- Float My Boat	
q(29056),	-- Fruit Round-Up	
q(29057),	-- Firebeak	
q(29058),	-- Roc Collection	
q(29059),	-- Save 'Em	
q(29060),	-- At Your Service	
q(29062),	-- Finding the Cultist	
q(29063),	-- Subversion	
q(29064),	-- We Need a Boat	
q(29065),	-- Out of This World	
q(29070),	-- Twilight Plight	
q(29072),	-- Last Resort, Literally	
q(29076),	-- Kevin's Test Quest	
q(29077),	-- What Hath Dodd Wrought	
q(29097),	-- Mor'shan Caravan Rescue	
q(29098),	-- Demon Seed	
q(29099),	-- Mor'shan Caravan Delivery	
q(29108),	-- Mor'shan Test Quest	
q(29140),	-- Under the Skylord's Gaze	
q(29170),	-- UNUSED	
q(29171),	-- UNUSED	
q(29178),	-- Oooh, Shinies!	
q(29180),	-- Promises, Promises...	
q(29184),	-- X Marks... Your Doom!	
q(29187),	-- Tuskin' Raiders	
q(29212),	-- [DEPRECATED] Fire Hawk Down	
q(29216),	-- Malfurion's Breach	
q(29224),	-- [DEPRICATED] NO LONGER USED	
q(29256),	-- [DEPRECATED] Eat Your Heart Out	
q(29258),	-- Meteorite Hunt	
q(29259),	-- [DEPRECATED] Hide and Seek	
q(29260),	-- [DEPRECATED] Enlighten Us	
q(29266),	-- DEPRECATED Zul'Gurub Voodoo (NYI)	
q(29271),	-- Bound for Warmer Weather	
q(29277),	-- Druid Tree, Stage 3 Tracking	
q(29294),	-- Animate Embers	
q(29372),	-- Trouble in Podunk	
q(29373),	-- Trouble in Podunk	
q(29441),	-- From the Belly of the Beast	
q(29459),	-- A Captured Banner	
q(29460),	-- The Enemy's Insignia	
q(29461),	-- The Captured Journal	
q(29473),	-- Putting the Carnies Back Together Again	
q(29532),	-- Dark Tidings	
q(29533),	-- Dark Tidings	
q(29569),	-- Warlord Kalithresh's Prized Possession	
q(29671),	-- The Black Morass	
q(29853),	-- Champion of the King	
q(30119),	-- Well of Eternity RP Tracker	
q(30173),	-- War Pigs!	
6.0.1.18179
q(32961),	-- Scary Ghosts and Nice Sprites - Tracking Quest	
7.3.0.24473
q(8971),	-- REUSE	
q(37042),	--
q(37139),	--
q(37200),	--
q(37258),	--
q(37267),	--
q(37337),	-- Vignette: Strategist Ankor	
q(37519),	--
q(37527),	--
q(37529),	--
q(37643),	--
q(37846),	--
q(37854),	--
q(37929),	--
q(37931),	--
q(37936),	--
q(37954),	--
q(37971),	--
q(38011),	--
q(38012),	--
q(38016),	--
q(38027),	--
q(38055),	--
q(38056),	--
q(38063),	-- Unlock "Legends of Azeroth."	
q(38064),	-- Unlock "The Burning Legion."	
q(38065),	-- Unlock "Wrath of the Lich King."	
q(38066),	-- Unlock "The Shattering."	
q(38067),	-- Unlock "Heart of Pandaria."	
q(38068),	-- Unlock "A Siege of Worlds."	
q(38069),	-- Unlock "Stormwind."	
q(38070),	-- Unlock "Orgrimmar."	
q(38071),	-- Unlock "High Seas."	
q(38072),	-- Unlock "War March."	
q(38073),	-- Unlock "Ironforge."	
q(38074),	-- Unlock "Unlock Thunder Bluff."	
q(38075),	-- Unlock "Cold Mountain."	
q(38076),	-- Unlock "Mulgore Plains."	
q(38077),	-- Unlock "Night Song."	
q(38078),	-- Unlock "Undercity."	
q(38079),	-- Unlock "Gnomeregan"	
q(38080),	-- Unlock "Zul'Gurub Voo Doo"	
q(38081),	-- Unlock "Tinkertown"	
q(38082),	-- Unlock "The Zandalari"	
q(38083),	-- Unlock "Exodar"	
q(38084),	-- Unlock "Silvermoon"	
q(38085),	-- Unlock "Curse of the Worgen"	
q(38086),	-- Unlock "Rescue the Warchief"	
q(38087),	-- Unlock "Angelic"	
q(38088),	-- Unlock "Ghost"	
q(38089),	-- Unlock "Mountains"	
q(38090),	-- Unlock "Magic"	
q(38091),	-- Unlock "The Black Temple"	
q(38092),	-- Unlock "Invincible"	
q(38093),	-- Unlock "Karazhan Opera House"	
q(38094),	-- Unlock "The Argent Tournament"	
q(38095),	-- Unlock "Lament of the Highborne"	
q(38096),	-- Unlock "Faerie Dragon"	
q(38097),	-- Unlock "Totems of the Grizzlemaw"	
q(38098),	-- Unlock "Mountains of Thunder"	
q(38099),	-- Unlock "Darkmoon Carousel"	
q(38100),	-- Unlock "Shalandis Isle"	
q(38101),	-- Unlock "Way of the Monk"	
q(38102),	-- Unlock "Song of Liu Lang"	
q(38103),	-- Gossip Test Case 1	
q(38104),	-- Gossip Test Case 2	
q(38105),	-- Gossip Test Case 3	
q(38106),	-- Greeting Text Test Case 1	
q(38107),	-- Greeting Text Test Case 2	
q(38108),	-- Greeting Text Test Case 3	
q(38228),	--
q(38230),	--
q(38233),	--
q(38319),	--
q(38325),	--
q(38326),	--
q(38327),	--
q(38328),	--
q(38329),	--
q(38330),	--
q(38335),	--
q(38336),	--
q(38338),	--
q(38340),	--
q(38364),	--
q(38373),	--
q(38375),	--
q(38385),	--
q(38403),	--
q(38409),	--
q(38418),	--
q(38429),	--
q(38432),	--
q(38450),	--
q(38456),	--
q(38464),	--
q(38484),	--
q(38492),	--
q(38493),	--
q(38497),	--
q(38520),	--
q(38553),	--
q(38554),	--
q(38555),	--
q(38556),	--
q(38590),	--
q(38606),	--
q(38625),	-- Hook & Sinker	
q(38627),	-- Worgen Stalkers (Horde Only)	
q(38630),	-- Horde Kill Squad (Alliance Only)	
q(38635),	--
q(38636),	--
q(38651),	--
q(38652),	--
q(38653),	--
q(38706),	--
q(38824),	--
q(38835),	--
q(38846),	--
q(38848),	--
q(38859),	--
q(38875),	--
q(38879),	--
q(38880),	--
q(38881),	--
q(38883),	--
q(38884),	--
q(38891),	--
q(38905),	--
q(38908),	--
q(38918),	--
q(38920),	--
q(38921),	--
q(38942),	--
q(38973),	--
q(38984),	--
q(38985),	--
q(38986),	--
q(38987),	--
q(38988),	--
q(38991),	--
q(38998),	--
q(38999),	--
q(39008),	--
q(39053),	--
q(39064),	--
q(39065),	--
q(39091),	--
q(39115),	--
q(39139),	--
q(39140),	--
q(39141),	--
q(39146),	--
q(39148),	--
q(39150),	--
q(39194),	--
q(39213),	--
q(39215),	--
q(39270),	--
q(39281),	--
q(39284),	--
q(39291),	--
q(39298),	--
q(39319),	--
q(39320),	--
q(39715),	-- Menacing Grumplings	
q(39747),	--
q(39754),	--
q(39755),	--
q(39760),	--
q(39778),	--
q(39779),	--
q(39784),	-- Beastmaster Pao'lek	
q(39797),	-- Aponi Brightmane Slotted	
q(39838),	-- Fire!	
q(39839),	-- Mysterious Dust	
q(39840),	-- The Council's Approval	
q(39841),	-- Friends in Low Places	
q(39844),	-- Cold Hard Coin	
q(39845),	-- The Obliterum Forge	
q(39863),	-- Trial By Fel Fire	
q(39888),	--
q(39893),	--
q(39894),	--
q(39897),	--
q(39898),	--
q(39899),	--
q(39901),	--
q(39902),	--
q(39908),	--
